Substance,Year_Ending,Frequency,Cum_Total,Prop_Drugs,Prop_Injured
Alcohol,2014,163,163,21.56084656,16.3
Meth,2014,93,93,12.3015873,9.3
THC,2014,110,110,14.55026455,11
Opioids,2014,88,88,11.64021164,8.8
Anti-Depressants,2014,160,160,21.16402116,16
Benzos,2014,103,103,13.62433862,10.3
Ketamine,2014,27,27,3.571428571,2.7
MDMA,2014,6,6,0.793650794,0.6
Cocaine,2014,6,6,0.793650794,0.6
No_Substance,2014,244,244,NA,24.4
Alcohol,2015,180,343,20.43132804,18
Meth,2015,145,238,16.45856981,14.5
THC,2015,101,211,11.46424518,10.1
Opioids,2015,87,175,9.875141884,8.7
Anti-Depressants,2015,171,331,19.40976163,17.1
Benzos,2015,137,240,15.55051078,13.7
Ketamine,2015,45,72,5.107832009,4.5
MDMA,2015,11,17,1.248581158,1.1
Cocaine,2015,4,10,0.454029512,0.4
No_Substance,2015,119,363,NA,11.9
Alcohol,2016,141,484,17.7581864,14.1
Meth,2016,146,384,18.38790932,14.6
THC,2016,110,321,13.85390428,11
Opioids,2016,78,253,9.823677582,7.8
Anti-Depressants,2016,128,459,16.1209068,12.8
Benzos,2016,98,338,12.34256927,9.8
Ketamine,2016,53,125,6.675062972,5.3
MDMA,2016,30,47,3.778337531,3
Cocaine,2016,10,20,1.259445844,1
No_Substance,2016,206,569,NA,20.6
Alcohol,2017,140,624,18.2767624,14
Meth,2017,115,499,15.01305483,11.5
THC,2017,110,431,14.36031332,11
Opioids,2017,101,354,13.18537859,10.1
Anti-Depressants,2017,123,582,16.05744125,12.3
Benzos,2017,115,453,15.01305483,11.5
Ketamine,2017,46,171,6.005221932,4.6
MDMA,2017,7,54,0.91383812,0.7
Cocaine,2017,9,29,1.174934726,0.9
No_Substance,2017,234,803,NA,23.4
Alcohol,2018,165,789,18.53932584,16.5
Meth,2018,138,637,15.50561798,13.8
THC,2018,122,553,13.70786517,12.2
Opioids,2018,101,455,11.34831461,10.1
Anti-Depressants,2018,147,729,16.51685393,14.7
Benzos,2018,141,594,15.84269663,14.1
Ketamine,2018,55,226,6.179775281,5.5
MDMA,2018,11,65,1.235955056,1.1
Cocaine,2018,10,39,1.123595506,1
No_Substance,2018,110,913,NA,11
