id,ma.ingest,dd.ne.total,dd.ad.total,dd.rd.total,dd.total,duid.att.risk,duid.att.sanction,duid.att.peer,duid.att.mean
9,FALSE,16,12,13,41,3.6666666666666665,5.333333333333333,2,3.5
11,TRUE,15,12,18,45,2.3333333333333335,2.3333333333333335,3.5,2.9
12,FALSE,16,16,14,46,2,3.3333333333333335,1.5,2.4
27,FALSE,12,8,14,34,4,4.666666666666667,3.5,3.9
37,FALSE,14,9,16,39,2.6666666666666665,2.6666666666666665,1.5,2.6
57,FALSE,15,11,19,45,3.3333333333333335,3.6666666666666665,3.5,3.7
60,FALSE,14,7,17,38,2,3,2.5,2.3
62,FALSE,14,13,15,42,3,3,2,2.7
72,FALSE,20,21,25,66,5,3.6666666666666665,3.5,4.3
75,FALSE,15,16,20,51,3.3333333333333335,3.6666666666666665,4,3.6
80,FALSE,15,14,15,44,1.6666666666666667,2,2,1.9
84,FALSE,17,13,17,47,2,2,2,2
90,FALSE,18,13,20,51,3.3333333333333335,2,2,2.4
98,FALSE,20,12,15,47,3.3333333333333335,2,2,2.4
106,FALSE,20,13,20,53,2,2,2,2
107,FALSE,20,12,13,45,2,2,1.5,1.8
111,FALSE,19,13,18,50,2,2,2,2
117,FALSE,18,13,19,50,2,2,2,2
119,FALSE,20,12,11,43,2,2,1.5,2
120,FALSE,16,17,29,62,2.6666666666666665,3.3333333333333335,3.5,3.2
121,TRUE,27,18,34,79,4,3.3333333333333335,5.5,4.3
123,FALSE,18,15,19,52,2,2,2,2
127,FALSE,18,12,15,45,3.3333333333333335,2,2,2.4
129,FALSE,16,11,13,40,2,2,1.5,1.9
131,FALSE,18,12,16,46,2,2,2,2
134,FALSE,21,13,16,50,2,2,2,2
135,FALSE,15,11,15,41,2,2,1.5,2
139,FALSE,20,11,20,51,2,2,2,2
144,FALSE,21,13,16,50,2,2,2,2
149,FALSE,19,13,16,48,2,2,2,2
150,FALSE,20,10,17,47,2,2,1.5,2.1
156,FALSE,20,8,13,41,3.3333333333333335,2,2,2.8
157,FALSE,17,11,18,46,2,2,2,2
159,TRUE,17,15,27,59,4.333333333333333,3,3,3.7
161,FALSE,20,12,18,50,2,2,1.5,1.9
164,FALSE,19,11,18,48,2,2,2,2
169,FALSE,16,11,19,46,2,2,1.5,1.9
170,FALSE,19,17,18,54,3.3333333333333335,2,2,2.8
173,FALSE,18,12,20,50,2,2,2,2
